Fiscal Year,Function/Program,Department,Program/Metric,Program/Metric Label,Amount,Sub-Metric 1,Sub-Metric2
2012,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Meals served vs. Meals contracted (%),99,Completion frequency-posted routes %,
2012,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Homebound meals served,756462,Completion frequency-posted routes %,
2012,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Congregate meals served,834063,Completion frequency-posted routes %,
2012,Community Development,Disability,ADA Compliance,ADA Compliance/Days to respond for interpreter services,2,Completion frequency-posted routes %,
2012,Community Development,Disability,AIDS Coordination,AIDS Coordination/HIV Testing and counseling,10840,Completion frequency-posted routes %,
2012,Community Development,Disability,Counseling sessions,Counseling sessions,80,Completion frequency-posted routes %,
2012,Community Development,Disability,Constituents served,Constituents served,800,Completion frequency-posted routes %,
2012,Community Development,Disability,Crisis intervention,Crisis intervention,,Completion frequency-posted routes %,
2012,Community Development,Housing,Compliance Monitoring,Compliance Monitoring/Affordable units monitored,20226,Completion frequency-posted routes %,
2012,Community Development,Housing,Homeownership and Preservation,Homeownership and Preservation/Number of housing units made lead safe,195,Completion frequency-posted routes %,
2012,Community Development,Housing,Housing Preservation and Production Programs,Housing Preservation and Production Programs/Units financed by MRB under the Homeownership/Program,,Completion frequency-posted routes %,Program
2012,Community Development,Housing,Housing Preservation and Production Programs,Housing Preservation and Production Programs/Units financed by GAP under the Homeownership/Program - Low Income,,Completion frequency-posted routes %,Program - Low Income
2012,Community Development,Housing,Housing Preservation and Production Programs,Housing Preservation and Production Programs/Residential units preserved under the Housing/Rehabilitation Program,,Completion frequency-posted routes %,Rehabilitation Program
2012,Community Development,Housing,Rent Program,Rent Program/Rental units registered,,Completion frequency-posted routes %,
2012,Community Development,Housing,Rent Program,Rent Program/Tenant complaints processed,5426,Completion frequency-posted routes %,
2012,Community Development,Housing,Rent Program,Rent Program/Rent adjustments processed,,Completion frequency-posted routes %,
2012,Community Development,Housing,Code Enforcement Program,Code Enforcement Program/Urgent repair referrals,,Completion frequency-posted routes %,
2012,Community Development,Housing,Code Enforcement Program,Code Enforcement Program/Multi-family unit inspected every 4 years,189771,Completion frequency-posted routes %,
2012,Community Development,Housing,Code Enforcement Program,Code Enforcement Program/Periodic inspections (units),,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,Convention Center,Client Revenue Services,Client Revenue Services/Repeat events hosted (#),281,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,Convention Center,Scheduled exhibit hall events,Scheduled exhibit hall events,137,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,Cultural Affairs,City Arts,City Arts/Theater attendance,128625,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,Cultural Affairs,City Arts,City Arts/Art class enrollment,13500,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,Cultural Affairs,Performing Arts,Performing Arts/Music/theatre programs presented,0,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,Cultural Affairs,Community Arts,Community Arts/Special events/festivals,15,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,Cultural Affairs,Community Arts,Community Arts/Art exhibitions presented,52,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,El Pueblo,History and Museums,History and Museums/Tours provided to the public,936,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,El Pueblo,Cultural and historical tours given,Cultural and historical tours given,1098,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,El Pueblo,Children's art workshops held,Children's art workshops held,105,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,El Pueblo,Special events/festivals held,Special events/festivals held,85,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,El Pueblo,Art exhibitions presented,Art exhibitions presented,8,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,El Pueblo,History and Museums,History and Museums/Visitors to educational and cultural programs,502268,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,El Pueblo,Historic sites maintained,Historic sites maintained,0,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of library cardholders,1076578,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Attendance level for cultural programming,332937,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of library materials checked out,15337032,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Registered Borrowers,1076578,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Books cataloged,49495,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Books received:/Volumes,229719,Completion frequency-posted routes %,Volumes
2012,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Items circulated,15337032,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of volunteers for special programs,4524,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of people visiting library facilities,13821289,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Aquatics/Pool Attendance,1327220,Completion frequency-posted routes %,Pool Attendance
2012,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Municipal Sports/Number of teams,6330,Completion frequency-posted routes %,Number of teams
2012,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Other Recreation/Occupancy at child care facilities (%),97,Completion frequency-posted routes %,Occupancy at child care facilities (%)
2012,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Senior Citizens Services/Sr. Citizens Clubs,109,Completion frequency-posted routes %,Sr. Citizens Clubs
2012,Cultural and Recreational Services,Recreation and Parks,Educational Exhibits,Educational Exhibits/Observatory/Attendance,969479,Completion frequency-posted routes %,Attendance
2012,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Aquatics/Attendance for recreational swim,2696366,Completion frequency-posted routes %,Attendance for recreational swim
2012,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Camps/Camper days,56204,Completion frequency-posted routes %,Camper days
2012,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Youth Services and Intervention Programming/Youth (ages 5-15) in organized sports programs,61947,Completion frequency-posted routes %,Youth (ages 5-15) in organized sports programs
2012,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Senior Citizens Services/Number of senior club members,12393,Completion frequency-posted routes %,Number of senior club members
2012,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Municipal Sports/Team sports participants,94141,Completion frequency-posted routes %,Team sports participants
2012,Cultural and Recreational Services,Zoo,Educational Exhibits,Educational Exhibits/Attendance,1706113,Completion frequency-posted routes %,
2012,Cultural and Recreational Services,Zoo,Admissions,Admissions/Number of group reservations processed,2955,Completion frequency-posted routes %,
